'sample #','MLII','V1'
284,865,892
285,864,891
286,863,891
287,865,892
288,865,894
289,866,895
290,868,895
291,866,894
292,867,893
293,865,892
294,866,889
295,863,888
296,859,887
297,860,889
298,862,890
299,863,891
300,865,892
301,867,893
302,868,897
303,868,895
304,867,895
305,866,896
306,866,892
307,863,891
308,861,889
309,862,891
310,864,893
311,866,895
312,868,895
313,872,896
314,874,898
315,875,897
316,877,899
317,880,898
318,882,897
319,882,892
320,881,894
321,883,895
322,882,895
323,882,895
324,883,897
325,885,898
326,889,899
327,890,895
328,892,897
329,893,893
330,893,893
331,890,891
332,887,888
333,882,887
334,880,888
335,874,888
336,875,890
337,875,892
338,876,890
339,875,890
340,875,888
341,873,889
342,868,884
343,864,884
344,858,883
345,855,886
346,856,890
347,854,893
348,854,899
349,854,900
350,856,901
351,856,900
352,853,897
353,854,898
354,850,895
355,851,892
356,849,890
357,849,894
358,851,894
359,849,895
360,852,895
361,852,897
362,853,896
363,853,897
364,852,899
365,853,896
366,852,894
367,852,895
368,850,893
369,851,894
370,855,895
371,853,898
372,857,900
373,864,903
374,872,904
375,883,901
376,899,900
377,918,895
378,941,892
379,965,883
380,986,878
381,1003,873
382,1013,872
383,1005,871
384,987,869
385,962,865
386,938,864
387,909,863
388,879,864
389,846,866
390,814,873
391,792,887
392,782,904
393,785,925
394,792,943
395,799,955
396,805,957
397,807,945
398,813,933
399,817,919
400,820,906
401,823,901
402,826,899
403,828,896
404,829,895
405,829,894
406,831,894
407,829,894
408,831,896
409,833,898
410,832,900
411,833,898
412,833,897
413,831,895
414,828,895
415,828,891
416,827,891
417,827,892
418,826,892
419,828,895
420,827,894
421,827,892
422,828,896
423,832,894
424,829,894
425,828,893
426,827,893
427,825,891
428,824,892
429,822,892
430,823,893
431,822,895
432,824,894
433,823,898
434,823,896
435,824,895
436,823,896
437,822,896
438,819,891
439,818,889
440,817,889
441,816,889
442,815,890
443,813,894
444,815,893
445,818,896
446,818,895
447,818,893
448,816,891
449,815,891
450,813,888
451,810,886
452,806,885
453,807,885
454,805,884
455,805,887
456,807,885
457,807,890
458,809,892
459,809,890
460,809,890
461,808,887
462,804,884
463,804,886
464,805,885
465,803,886
466,803,887
467,801,886
468,804,889
469,804,890
470,806,891
471,806,890
472,809,888
473,809,887
474,808,883
475,807,884
476,808,882
477,808,884
478,808,883
479,811,884
480,812,885
481,816,887
482,815,888
483,820,888
484,822,889
485,827,885
486,827,882
487,829,877
488,831,879
489,834,878
490,839,880
491,841,883
492,849,882
493,852,883
494,858,885
495,863,885
496,867,883
497,868,882
498,871,882
499,871,882
500,870,882
501,871,882
502,874,883
503,875,885
504,877,890
505,877,891
506,878,894
507,878,893
508,878,891
509,876,892
510,873,890
511,871,887
512,869,890
513,868,887
514,870,889
515,869,890
516,869,892
517,870,892
518,870,895
519,869,892
520,866,892
521,866,893
522,863,890
523,863,891
524,862,887
525,861,889
526,861,891
527,861,892
528,862,894
529,864,893
530,865,897
531,863,895
532,864,894
533,861,891
534,859,892
535,857,892
536,858,891
537,855,888
538,855,889
539,857,891
540,857,893
541,857,896
542,858,894
543,856,895
544,859,894
545,860,892
546,859,889
547,859,889
548,856,888
549,855,887
550,853,886
551,853,888
552,857,888
553,858,891
554,856,889
555,859,889
556,858,891
557,858,890
558,857,888
559,856,889
560,856,888
561,856,887
562,855,887
563,853,890
564,856,889
565,857,890
566,859,892
567,860,892
568,860,890
569,858,891
570,861,890
571,860,886
572,859,886
573,861,887
574,862,889
575,866,889
576,867,892
577,872,896
578,875,897
579,877,898
580,878,894
581,878,894
582,874,892
583,875,889
584,874,888
585,873,889
586,876,887
587,877,891
588,880,891
589,880,891
590,884,893
591,884,892
592,880,889
593,873,886
594,870,887
595,866,885
596,862,882
597,859,882
598,859,883
599,861,885
600,864,883
601,862,885
602,861,885
603,857,883
604,855,884
605,851,887
606,850,889
607,846,891
608,845,890
609,843,894
610,843,895
611,844,894
612,843,895
613,844,895
614,843,897
615,845,895
616,845,894
617,843,892
618,840,891
619,841,890
620,841,888
621,838,888
622,838,887
623,842,892
624,838,895
625,845,894
626,842,896
627,846,897
628,848,898
629,844,896
630,843,893
631,845,894
632,845,894
633,845,896
634,845,898
635,846,899
636,850,900
637,858,901
638,871,903
639,885,899
640,903,898
641,926,889
642,951,883
643,976,877
644,995,871
645,1003,867
646,994,864
647,971,862
648,942,859
649,911,860
650,873,861
651,835,866
652,800,875
653,775,891
654,770,909
655,773,931
656,779,946
657,785,951
658,794,946
659,797,934
660,801,922
661,806,911
662,812,905
663,815,900
664,819,898
665,820,895
666,824,893
667,823,892
668,823,893
669,822,892
670,821,892
671,820,893
672,821,893
673,821,895
674,823,896
675,825,897
676,823,894
677,823,891
678,821,889
679,819,890
680,816,889
681,816,889
682,816,888
683,816,890
684,816,893
685,817,894
686,817,897
687,821,895
688,820,892
689,819,894
690,815,891
691,813,892
692,812,889
693,810,888
694,811,890
695,813,891
696,814,891
697,816,893
698,816,895
699,815,896
700,815,893
701,814,893
702,810,892
703,809,890
704,808,887
705,806,886
706,805,888
707,805,890
708,807,893
709,808,893
710,807,895
711,811,892
712,808,888
713,807,887
714,802,888
715,802,886
716,799,883
717,797,883
718,798,883
719,796,884
720,796,887
721,798,888
722,797,890
723,800,888
724,800,887
725,799,885
726,799,883
727,797,881
728,796,879
729,796,879
730,797,882
731,798,883
732,800,885
733,801,885
734,802,886
735,806,887
736,803,887
737,805,884
738,805,880
739,808,879
740,811,878
741,811,878
742,817,877
743,821,877
744,827,879
745,831,881
746,836,883
747,840,881
748,843,879
749,848,878
750,849,877
751,852,876
752,854,876
753,856,876
754,859,878
755,862,879
756,865,883
757,867,884
758,871,887
759,869,886
760,870,887
761,868,886
762,871,885
763,868,885
764,868,884
765,866,884
766,864,887
767,867,886
768,867,889
769,865,890
770,866,892
771,867,891
772,865,891
773,865,889
774,862,888
775,861,888
776,856,886
777,855,889
778,856,888
779,855,891
780,855,890
781,857,892
782,856,895
783,858,891
784,857,892
785,855,890
786,854,893
787,853,890
788,849,887
789,849,886
790,849,887
791,852,888
792,849,890
793,854,891
794,852,894
795,852,893
796,850,890
797,849,887
798,847,886
799,846,886
800,845,885
801,843,883
802,845,885
803,846,885
804,848,887
805,851,888
806,850,889
807,851,891
808,851,886
809,851,884
810,849,882
811,848,884
812,845,885
813,845,882
814,847,884
815,846,886
816,848,887
817,850,888
818,849,890
819,850,890
820,850,891
821,853,886
822,853,884
823,853,888
824,852,885
825,854,882
826,855,886
827,858,888
828,861,891
829,864,892
830,868,895
831,870,896
832,869,893
833,871,893
834,870,892
835,868,889
836,866,885
837,866,887
838,868,885
839,870,888
840,873,885
841,874,888
842,875,888
843,877,888
844,871,887
845,866,883
846,861,883
847,858,882
848,856,881
849,855,878
850,858,879
851,856,880
852,856,880
853,855,884
854,850,886
855,847,886
856,845,888
857,843,891
858,840,890
859,839,892
860,834,890
861,832,888
862,835,889
863,833,888
864,835,888
865,837,889
866,841,893
867,841,894
868,840,891
869,839,890
870,838,890
871,837,888
872,833,885
873,834,884
874,835,887
875,837,889
876,837,891
877,841,892
878,843,895
879,844,897
880,844,894
881,842,896
882,843,894
883,844,894
884,849,893
885,856,891
886,872,893
887,890,888
888,913,888
889,941,885
890,967,882
891,988,877
892,1001,870
893,1000,868
894,984,863
895,960,859
896,929,855
897,901,853
898,871,854
899,838,860
900,806,868
901,786,883
902,779,899
903,780,923
904,783,941
905,789,952
906,791,949
907,796,941
908,795,928
909,799,913
910,801,901
911,807,897
912,811,895
913,817,896
914,821,896
915,821,893
916,822,892
917,822,892
918,821,889
919,819,888
920,816,887
921,816,887
922,814,885
923,815,888
924,820,889
925,822,890
926,821,892
927,824,890
928,823,892
929,822,888
930,820,887
931,819,884
932,818,880
933,816,882
934,816,882
935,818,881
936,818,885
937,818,888
938,818,889
939,818,889
940,817,889
941,814,887
942,815,885
943,811,885
944,811,881
945,810,881
946,811,882
947,811,883
948,812,887
949,810,888
950,811,886
951,815,886
952,813,886
953,812,885
954,809,883
955,807,881
956,806,883
957,804,881
958,805,884
959,801,882
960,803,884
961,805,887
962,805,887
963,805,886
964,804,886
965,804,883
966,802,878
967,802,878
968,800,876
969,798,877
970,797,875
971,797,881
972,795,881
973,796,880
974,797,880
975,798,881
976,799,880
977,798,880
978,795,880
979,795,879
980,794,875
981,795,874
982,794,876
983,796,877
984,800,879
985,801,881
986,802,883
987,806,881
988,807,881
989,806,880
990,808,877
991,808,878
992,808,876
993,810,875
994,809,873
995,813,874
996,818,877
997,825,876
998,827,878
999,839,875
1000,843,874
1001,847,873
1002,849,873
1003,850,872
1004,851,874
1005,857,873
1006,860,875
1007,860,878
1008,868,878
1009,870,881
1010,871,883
1011,869,880
1012,869,881
1013,869,880
1014,866,878
1015,865,878
1016,866,877
1017,866,879
1018,866,882
1019,865,883
1020,864,886
1021,866,888
1022,864,886
1023,865,886
1024,864,885
1025,862,881
1026,861,884
1027,860,881
1028,859,880
1029,858,881
1030,856,883
1031,853,883
1032,855,883
1033,855,884
1034,856,881
1035,858,883
1036,857,884
1037,856,883
1038,857,881
1039,856,881
1040,855,880
1041,852,883
1042,852,886
1043,850,886
1044,850,889
1045,852,889
1046,852,891
1047,852,889
1048,851,887
1049,849,886
1050,849,882
1051,847,883
1052,848,880
1053,848,881
1054,849,884
1055,850,885
1056,850,886
1057,851,889
1058,851,886
1059,851,884
1060,848,883
1061,847,881
1062,846,883
1063,845,882
1064,846,878
1065,846,881
1066,843,882
1067,846,883
1068,845,886
1069,849,886
1070,851,887
1071,851,888
1072,851,888
1073,850,888
1074,850,886
1075,847,882
1076,847,882
1077,846,883
1078,844,884
1079,850,886
1080,853,889
1081,857,890
1082,861,893
1083,861,891
1084,863,891
1085,862,890
1086,862,890
1087,861,888
1088,860,885
1089,858,886
1090,860,886
1091,861,885
1092,864,888
1093,867,887
1094,870,887
1095,871,884
1096,871,882
1097,868,882
1098,866,879
1099,861,878
1100,855,877
1101,849,877
1102,849,880
1103,851,883
1104,855,881
1105,855,883
1106,854,881
1107,852,880
1108,846,878
1109,842,878
1110,837,878
1111,834,879
1112,830,882
1113,830,886
1114,829,892
1115,829,894
1116,830,894
1117,832,896
1118,832,892
1119,830,893
1120,832,892
1121,829,888
1122,828,889
1123,829,889
1124,829,884
1125,829,886
1126,830,888
1127,830,886
1128,827,890
1129,830,891
1130,829,890
1131,832,890
1132,831,889
1133,831,890
1134,829,886
1135,827,886
1136,827,886
1137,829,888
1138,830,888
1139,831,893
1140,833,896
1141,841,899
1142,852,897
1143,864,895
1144,883,892
1145,904,887
1146,931,880
1147,954,873
1148,978,869
1149,987,864
1150,983,865
1151,964,864
1152,936,867
1153,907,871
1154,871,881
1155,827,890
1156,793,906
1157,774,923
1158,768,947
1159,773,968
1160,775,982
1161,778,980
1162,779,965
1163,783,943
1164,787,922
1165,793,908
1166,799,897
1167,805,892
1168,807,890
1169,809,888
1170,807,887
1171,805,885
1172,806,883
1173,803,884
1174,802,885
1175,803,884
1176,805,886
1177,804,887
1178,807,885
1179,806,885
1180,807,886
1181,805,883
1182,803,883
1183,803,881
1184,804,881
1185,799,880
1186,798,880
1187,800,883
1188,800,884
1189,801,885
1190,802,883
1191,799,883
1192,799,883
1193,799,882
1194,797,883
1195,795,879
1196,796,878
1197,793,878
1198,794,881
1199,797,880
1200,800,881
1201,801,882
1202,801,884
1203,799,884
1204,801,882
1205,797,882
1206,792,882
1207,791,879
1208,790,877
1209,791,879
1210,789,880
1211,789,881
1212,791,882
1213,791,881
1214,792,882
1215,794,880
1216,794,878
1217,790,876
1218,788,876
1219,785,873
1220,785,871
1221,780,870
1222,781,872
1223,780,872
1224,781,876
1225,781,877
1226,783,878
1227,780,878
1228,779,877
1229,778,876
1230,778,875
1231,777,873
1232,779,875
1233,779,871
1234,779,874
1235,782,874
1236,784,876
1237,782,878
1238,785,876
1239,786,877
1240,787,874
1241,784,872
1242,790,871
1243,789,870
1244,788,866
1245,791,867
1246,795,871
1247,799,871
1248,802,873
1249,810,874
1250,815,873
1251,817,870
1252,820,869
1253,824,868
1254,825,866
1255,828,863
1256,830,866
1257,832,867
1258,837,868
1259,841,874
1260,842,875
1261,846,877
1262,847,879
1263,850,878
1264,850,879
1265,849,880
1266,847,877
1267,846,878
1268,844,877
1269,842,879
1270,841,882
1271,840,884
1272,843,884
1273,847,888
1274,848,889
1275,846,888
1276,847,888
1277,844,887
1278,843,884
1279,841,882
1280,838,882
1281,835,880
1282,837,884
1283,837,883
1284,839,884
1285,841,887
1286,841,887
1287,838,888
1288,838,888
1289,836,884
1290,834,882
1291,832,881
1292,833,884
1293,832,882
1294,834,882
1295,834,883
1296,835,887
1297,836,887
1298,837,887
1299,834,884
1300,832,884
1301,834,882
1302,831,884
1303,831,881
1304,832,881
1305,830,881
1306,832,881
1307,834,884
1308,833,884
1309,835,886
1310,836,884
1311,835,884
1312,835,886
1313,832,881
1314,833,881
1315,833,880
1316,833,882
1317,834,880
1318,833,881
1319,838,881
1320,840,883
1321,840,885
1322,842,886
1323,843,886
1324,842,885
1325,844,884
1326,845,884
1327,847,882
1328,848,885
1329,847,887
1330,851,890
1331,851,891
1332,851,895
1333,851,893
1334,853,891
1335,854,889
1336,856,888
1337,859,886
1338,859,885
1339,862,883
1340,862,881
1341,859,881
1342,857,883
1343,858,880
1344,858,879
1345,857,880
1346,858,879
1347,857,879
1348,855,879
1349,852,876
1350,847,877
1351,847,878
1352,845,876
1353,842,876
1354,842,882
1355,840,882
1356,837,886
1357,838,890
1358,840,890
1359,837,890
1360,835,889
1361,833,887
1362,833,885
1363,828,884
1364,827,883
1365,827,884
1366,828,884
1367,831,888
1368,830,890
1369,833,889
1370,835,890
1371,834,889
1372,832,890
1373,831,888
1374,831,885
1375,829,884
1376,830,884
1377,830,883
1378,831,887
1379,834,886
1380,835,887
1381,835,890
1382,841,892
1383,841,891
1384,845,889
1385,856,888
1386,869,886
1387,884,884
1388,905,880
1389,929,877
1390,955,872
1391,980,871
1392,998,867
1393,1005,865
1394,1001,865
1395,981,861
1396,952,858
1397,924,855
1398,893,859
1399,861,863
1400,827,871
1401,796,885
1402,776,899
1403,773,925
1404,782,951
1405,790,973
1406,794,982
1407,792,972
1408,788,953
1409,788,932
1410,790,909
1411,796,898
1412,802,889
1413,807,885
1414,812,887
1415,815,888
1416,817,888
1417,816,890
1418,818,889
1419,816,891
1420,816,889
1421,815,888
1422,813,887
1423,812,887
1424,813,884
1425,812,886
1426,810,888
1427,811,889
1428,811,889
1429,812,890
1430,816,889
1431,815,887
1432,815,888
1433,812,885
1434,811,884
1435,812,881
1436,809,884
1437,806,883
1438,807,883
1439,806,883
1440,807,884
1441,808,887
1442,812,888
1443,810,886
1444,809,885
1445,808,882
1446,804,879
1447,804,880
1448,803,879
1449,803,881
1450,802,879
1451,804,885
1452,802,885
1453,803,888
1454,806,885
1455,803,884
1456,804,884
1457,802,881
1458,800,881
1459,799,879
1460,797,879
1461,795,878
1462,795,879
1463,797,883
1464,796,882
1465,798,882
1466,799,883
1467,797,882
1468,795,880
1469,794,877
1470,792,879
1471,791,874
1472,786,871
1473,789,873
1474,789,875
1475,791,875
1476,792,877
1477,793,876
1478,797,878
1479,796,876
1480,795,876
1481,792,873
1482,796,872
1483,795,871
1484,795,870
1485,794,873
1486,799,873
1487,801,873
1488,803,874
1489,807,875
1490,809,876
1491,813,878
1492,815,874
1493,816,874
1494,817,872
1495,822,872
1496,825,871
1497,826,873
1498,830,870
1499,834,872
1500,836,874
1501,845,876
1502,848,877
1503,853,876
1504,853,877
1505,856,875
1506,860,875
1507,858,875
1508,859,875
1509,860,878
1510,863,880
1511,865,883
1512,866,886
1513,867,887
1514,867,890
1515,868,890
1516,866,891
1517,863,892
1518,863,889
1519,861,888
1520,860,889
1521,855,890
1522,857,888
1523,860,892
1524,862,895
1525,861,897
1526,863,896
1527,863,895
1528,862,894
1529,861,894
1530,858,888
1531,855,887
1532,854,889
1533,852,889
1534,854,892
1535,853,892
1536,855,893
1537,857,894
1538,857,894
1539,858,892
1540,857,893
1541,855,889
1542,855,889
1543,853,889
1544,852,885
1545,852,887
1546,852,888
1547,853,891
1548,854,893
1549,854,893
1550,855,897
1551,856,893
1552,853,894
1553,853,894
1554,850,890
1555,851,891
1556,851,888
1557,851,887
1558,851,888
1559,851,892
1560,854,893
1561,855,895
1562,857,897
1563,855,894
1564,853,895
1565,855,891
1566,854,890
1567,854,888
1568,852,888
1569,853,890
1570,851,889
1571,853,892
1572,855,892
1573,857,898
1574,855,892
1575,857,891
1576,855,894
1577,856,893
1578,857,890
1579,858,892
1580,859,891
1581,861,893
1582,861,897
1583,866,898
1584,867,901
1585,872,901
1586,871,903
1587,871,901
1588,869,900
1589,869,896
1590,870,895
1591,869,893
1592,868,889
1593,871,890
1594,872,890
1595,873,893
1596,876,893
1597,875,895
1598,873,894
1599,868,893
1600,865,893
1601,859,887
1602,858,886
1603,856,885
1604,856,883
1605,856,884
1606,855,882
1607,851,885
1608,850,887
1609,849,893
1610,849,892
1611,846,897
1612,845,896
1613,843,896
1614,838,898
1615,838,893
1616,835,893
1617,836,893
1618,833,895
1619,834,896
1620,837,898
1621,835,901
1622,839,900
1623,840,899
1624,838,899
1625,836,894
1626,834,893
1627,832,894
1628,832,891
1629,831,892
1630,835,893
1631,835,893
1632,834,896
1633,838,900
1634,839,901
1635,842,898
1636,841,900
1637,841,900
1638,841,895
1639,844,896
1640,852,896
1641,863,895
1642,878,896
1643,897,895
1644,924,895
1645,951,891
1646,976,889
1647,998,885
1648,1012,882
1649,1010,882
1650,991,875
1651,961,871
1652,929,869
1653,893,872
1654,855,876
1655,822,889
1656,799,903
1657,789,922
1658,789,943
1659,796,956
1660,804,959
1661,810,949
1662,815,935
1663,817,922
1664,817,907
1665,815,901
1666,813,896
1667,811,896
1668,813,897
1669,813,897
1670,817,897
1671,818,896
1672,816,898
1673,817,898
1674,815,893
1675,815,891
1676,810,891
1677,812,892
1678,811,893
1679,809,895
1680,813,896
1681,815,898
1682,812,899
1683,811,897
1684,814,894
1685,813,895
1686,810,893
1687,806,894
1688,807,892
1689,807,891
1690,808,893
1691,807,895
1692,810,896
1693,811,897
1694,813,897
1695,810,897
1696,808,896
1697,807,893
1698,806,894
1699,804,889
1700,802,889
1701,803,891
1702,801,891
1703,801,893
1704,803,894
1705,804,894
1706,803,899
1707,802,895
1708,800,894
1709,798,893
1710,797,893
1711,795,891
1712,792,892
1713,793,892
1714,794,890
1715,796,893
1716,796,892
1717,795,895
1718,796,896
1719,795,892
1720,794,891
1721,791,890
1722,787,890
1723,786,888
1724,784,886
1725,784,887
1726,783,889
1727,783,890
1728,786,890
1729,787,891
1730,789,889
1731,788,891
1732,787,890
1733,786,888
1734,786,886
1735,787,885
1736,786,882
1737,786,884
1738,787,885
1739,790,885
1740,791,888
1741,794,892
1742,797,892
1743,798,892
1744,800,890
1745,802,889
1746,803,888
1747,804,887
1748,805,886
1749,808,884
1750,812,885
1751,818,884
1752,822,886
1753,827,887
1754,832,886
1755,835,887
1756,840,887
1757,844,884
1758,847,882
1759,848,883
1760,849,881
1761,851,885
1762,854,882
1763,857,886
1764,859,887
1765,865,889
1766,864,891
1767,865,891
1768,864,890
1769,863,890
1770,864,890
1771,862,890
1772,856,890
1773,859,892
1774,857,896
1775,858,897
1776,858,900
1777,859,901
1778,859,902
1779,857,901
1780,857,901
1781,857,898
1782,856,897
1783,853,897
1784,851,893
1785,851,894
1786,851,894
1787,851,895
1788,853,897
1789,853,899
1790,854,901
1791,853,901
1792,850,898
1793,850,896
1794,850,895
1795,849,894
1796,845,893
1797,845,894
1798,843,893
1799,843,894
1800,843,897
1801,845,899
1802,846,898
1803,847,897
1804,847,899
1805,846,894
1806,843,897
1807,841,893
1808,840,893
1809,841,895
1810,844,896
1811,845,899
1812,846,901
1813,847,898
1814,847,899
1815,848,901
1816,846,898
1817,847,899
1818,845,897
1819,846,894
1820,845,894
1821,846,894
1822,849,898
1823,851,901
1824,853,898
1825,855,903
1826,856,904
1827,858,907
1828,859,904
1829,856,902
1830,856,904
1831,854,902
1832,855,898
1833,857,897
1834,861,899
1835,863,900
1836,866,900
1837,869,898
1838,870,902
1839,871,899
1840,868,898
1841,865,895
1842,861,893
1843,857,887
1844,855,889
1845,854,886
1846,851,887
1847,851,888
1848,850,889
1849,849,892
1850,845,893
1851,843,896
1852,843,896
1853,842,896
1854,837,899
1855,833,898
1856,830,897
1857,829,895
1858,828,898
1859,830,896
1860,830,898
1861,832,898
1862,831,900
1863,831,898
1864,832,900
1865,831,896
1866,830,898
1867,827,894
1868,826,891
1869,826,892
1870,824,894
1871,826,896
1872,825,899
1873,827,900
1874,831,901
1875,833,900
1876,831,901
1877,832,901
1878,829,897
1879,828,900
1880,828,897
1881,828,899
1882,834,899
1883,841,904
1884,854,904
1885,869,902
1886,890,900
1887,916,896
1888,946,890
1889,972,886
1890,992,880
1891,1000,876
1892,994,878
1893,973,874
1894,950,873
1895,923,872
1896,901,873
1897,873,876
1898,848,881
1899,819,890
1900,797,899
1901,785,914
1902,782,933
1903,787,946
1904,791,955
1905,799,952
1906,804,945
1907,808,931
1908,811,921
1909,810,915
1910,809,910
1911,808,905
1912,804,902
1913,805,901
1914,806,895
1915,806,896
1916,806,895
1917,806,892
1918,805,893
1919,805,895
1920,807,899
1921,806,899
1922,804,900
1923,805,897
1924,803,896
1925,804,893
1926,805,890
1927,803,889
1928,800,888
1929,801,888
1930,801,890
1931,802,889
1932,802,892
1933,802,895
1934,801,893
1935,803,895
1936,803,895
1937,802,893
1938,801,891
1939,800,891
1940,797,890
1941,796,893
1942,795,892
1943,796,892
1944,797,896
1945,798,895
1946,796,899
1947,798,897
1948,799,897
1949,799,894
1950,795,893
1951,792,891
1952,791,891
1953,790,887
1954,789,891
1955,791,893
1956,791,894
1957,790,895
1958,793,896
1959,791,893
1960,789,892
1961,788,890
1962,784,889
1963,782,887
1964,781,885
1965,777,885
1966,777,887
1967,778,888
1968,778,890
1969,779,891
1970,783,892
1971,779,893
1972,778,891
1973,776,888
1974,776,890
1975,774,888
1976,775,888
1977,773,889
1978,773,888
1979,774,890
1980,775,889
1981,776,891
1982,776,895
1983,778,894
1984,778,891
1985,773,888
1986,777,887
1987,777,886
1988,777,886
1989,777,886
1990,779,887
1991,783,888
1992,786,888
1993,788,888
1994,792,890
1995,795,888
1996,795,886
1997,798,889
1998,797,886
1999,799,883
2000,803,885
2001,806,883
2002,810,883
2003,816,887
2004,822,887
2005,828,889
2006,831,892
2007,833,891
2008,836,890
2009,838,889
2010,838,886
2011,838,889
2012,838,886
2013,838,888
2014,841,891
2015,842,895
2016,844,893
2017,843,895
2018,846,899
2019,846,898
2020,846,897
2021,843,896
2022,840,896
2023,839,893
2024,839,893
2025,835,893
2026,836,893
2027,836,894
2028,836,898
2029,834,898
2030,838,899
2031,840,899
2032,835,897
2033,837,899
2034,832,896
2035,830,895
2036,828,893
2037,827,894
2038,828,896
2039,830,898
2040,833,899
2041,833,899
2042,835,903
2043,831,902
2044,830,899
2045,828,896
2046,827,895
2047,825,895
2048,823,893
2049,821,894
2050,827,895
2051,827,894
2052,828,896
2053,828,897
2054,830,899
2055,828,895
2056,829,895
2057,828,894
2058,826,893
2059,827,894
2060,825,892
2061,825,890
2062,824,892
2063,824,896
2064,824,896
2065,824,896
2066,826,897
2067,828,897
2068,829,896
2069,828,897
2070,826,894
2071,827,896
2072,826,894
2073,827,892
2074,826,895
2075,829,897
2076,830,899
2077,831,899
2078,836,901
2079,838,900
2080,841,901
2081,839,902
2082,842,900
2083,843,901
2084,841,899
2085,839,901
2086,840,902
2087,841,901
2088,843,904
2089,841,905
2090,842,904
2091,844,901
2092,843,899
2093,843,897
2094,847,892
2095,848,893
2096,849,892
2097,848,890
2098,846,890
2099,843,893
2100,837,892
2101,835,894
2102,834,894
2103,835,894
2104,834,888
2105,835,890
2106,831,889
2107,828,889
2108,824,890
2109,819,890
2110,815,896
2111,814,897
2112,814,902
2113,815,903
2114,815,903
2115,817,903
2116,814,899
2117,815,899
2118,814,897
2119,812,897
2120,810,896
2121,810,895
2122,811,893
2123,811,897
2124,814,896
2125,815,898
2126,817,899
2127,818,900
2128,817,898
2129,816,897
2130,815,898
2131,813,896
2132,813,897
2133,814,896
2134,816,899
2135,816,902
2136,819,906
